message_number,forum,subject,datetime,timezone,username,message_content
10,Commotion-discuss, [Commotion-dev] Commotion source now,"Thu, 29 Sep 2011 12:55:18 -0500",-0500,Ben West,"I'm behind some pretty sketchy wifi in Detroit right now, which may be the
cause, but I've so far been unable to check out the repo...

bash#~/commotion$ git clone git://git.chambana.net/commotion-openwrt
Initialized empty Git repository in
/blah/blah/blah/commotion/commotion-openwrt/.git/
fatal: The remote end hung up unexpectedly

Anyone else having the same problem?

On Tue, Sep 20, 2011 at 10:42 AM, Brian Duggan <duggan at newamerica.net>wrote:

> "
11,Commotion-discuss, [Commotion-dev] Commotion source now,"Thu, 29 Sep 2011 13:56:40 -0400",-0400,Josh King,"Hi Ben,

We recently pushed a bunch of updates to the development site, and 
that's resulted in a few issues with the repository handling. Brian's 
working on it and should have it fixed in a bit.

On Thu 29 Sep 2011 01:55:18 PM EDT, Ben West wrote:
> I'm behind some pretty sketchy wifi in Detroit right now, which may be the
> cause, but I've so far been unable to check out the repo...
>
> bash#~/commotion$ git clone git://git.chambana.net/commotion-openwrt
> Initialized empty Git repository in
> /blah/blah/blah/commotion/commotion-openwrt/.git/
> fatal: The remote end hung up unexpectedly
>
> Anyone else having the same problem?
>
> On Tue, Sep 20, 2011 at 10:42 AM, Brian Duggan <duggan at newamerica.net>wrote:
>
"
12,Commotion-discuss, [Commotion-announce] [Commotion-dev],"Thu, 29 Sep 2011 13:05:12 -0500",-0500,Chris Ritzo,"Ben,
FYi Pulling a public clone worked for me a couple days ago.
-Chris

On Thu, Sep 29, 2011 at 12:56 PM, Josh King <joshking at newamerica.net> wrote:

> Hi Ben,
>
> We recently pushed a bunch of updates to the development site, and
> that's resulted in a few issues with the repository handling. Brian's
> working on it and should have it fixed in a bit.
>
> On Thu 29 Sep 2011 01:55:18 PM EDT, Ben West wrote:
> > I'm behind some pretty sketchy wifi in Detroit right now, which may be
> the
> > cause, but I've so far been unable to check out the repo...
> >
> > bash#~/commotion$ git clone git://git.chambana.net/commotion-openwrt
> > Initialized empty Git repository in
> > /blah/blah/blah/commotion/commotion-openwrt/.git/
> > fatal: The remote end hung up unexpectedly
> >
> > Anyone else having the same problem?
> >
> > On Tue, Sep 20, 2011 at 10:42 AM, Brian Duggan <duggan at newamerica.net
> >wrote:
> >
> "
13,Commotion-discuss, [Commotion-announce] [Commotion-dev],"Thu, 29 Sep 2011 14:07:05 -0400",-0400,Josh King,"Yeah, this was pretty recent. It was fixed, and then while we were 
trying to fix some other stuff and push general upgrades it broke again 
today. So it'll be working again soon. I'm also nearly finished setting 
up a completely new server that will be a lot more reliable and 
up-to-date.

On Thu 29 Sep 2011 02:05:12 PM EDT, Chris Ritzo wrote:
> Ben,
> FYi Pulling a public clone worked for me a couple days ago.
> -Chris
>
> On Thu, Sep 29, 2011 at 12:56 PM, Josh King <joshking at newamerica.net> wrote:
>
"
14,Commotion-discuss, [Commotion-announce] [Commotion-dev],"Thu, 29 Sep 2011 14:07:44 -0400",-0400,Brian Duggan,"Hi all,

Apologies for the confusion. Apparently, git-daemon had been working 
until we upgraded to gitolite as our access control method. gitolite 
decided it should have complete control over whether something was 
served via git-daemon, so nothing is currently available publicly. I 
should have it resolved in a few minutes.

Thanks,
Brian

On Thu Sep 29 14:05:12 2011, Chris Ritzo wrote:
> Ben,
> FYi Pulling a public clone worked for me a couple days ago.
> -Chris
>
> On Thu, Sep 29, 2011 at 12:56 PM, Josh King <joshking at newamerica.net
> <mailto:joshking at newamerica.net"
15,Commotion-discuss, [Commotion-announce] [Commotion-dev],"Thu, 29 Sep 2011 14:08:55 -0400",-0400,Andrew Reynolds,"Strange. I got the same error as Ben on commotion-openwrt, but I was
able to check out commotion.

-andrew

On 09/29/2011 02:07 PM, Brian Duggan wrote:
> Hi all,
> 
> Apologies for the confusion. Apparently, git-daemon had been working 
> until we upgraded to gitolite as our access control method. gitolite 
> decided it should have complete control over whether something was 
> served via git-daemon, so nothing is currently available publicly. I 
> should have it resolved in a few minutes.
> 
> Thanks,
> Brian
> 
> On Thu Sep 29 14:05:12 2011, Chris Ritzo wrote:
"
16,Commotion-discuss, [Commotion-announce] [Commotion-dev],"Thu, 29 Sep 2011 14:18:11 -0400",-0400,Brian Duggan,"commotion-openwrt is publicly available again. Sorry for the hiccup.

Brian

On Thu Sep 29 14:08:55 2011, Andrew Reynolds wrote:
> Strange. I got the same error as Ben on commotion-openwrt, but I was
> able to check out commotion.
>
> -andrew
>
> On 09/29/2011 02:07 PM, Brian Duggan wrote:
"
17,Commotion-discuss, more intros!,"Thu, 29 Sep 2011 16:31:19 -0700",-0700,a. bentham,"Greetings!

I was excited to learn about the project also through the LeMonde article!
What caught me was the link to Indymedia. I have volunteered with Indymedia
since 2000. I am now a graduate student in Seattle writing my thesis on a
project I worked on setting up an IMC in Palestine which though did not
ultimately succeed is giving me a lot of information to look at digital
media in the Arab world, specifically Palestine and Jordan. I am an
Arab-American and I travel between France, the Middle East and the US
frequently for work and research. I would love to put in some time towards
making this project succeed.

Amirah
"
18,Commotion-discuss, more intros!,"Fri, 30 Sep 2011 15:15:19 -0400",-0400,Andrew Reynolds,"Welcome aboard!

We have a lot of ways to get involved. Everything from software
development and testing to documentation, usability, and outreach. What
kind of work do you enjoy doing?

Looking forward to hearing your input on the project.

-andrew

> Greetings!
> 
> I was excited to learn about the project also through the LeMonde
> article! What caught me was the link to Indymedia. I have volunteered
> with Indymedia since 2000. I am now a graduate student in Seattle
> writing my thesis on a project I worked on setting up an IMC in
> Palestine which though did not ultimately succeed is giving me a lot
> of information to look at digital media in the Arab world, 
> specifically Palestine and Jordan. I am an Arab-American and I travel
> between France, the Middle East and the US frequently for work and
> research. I would love to put in some time towards making this
> project succeed.
> 
> Amirah


"
19,Commotion-discuss, [Commotion-dev] Building a Wireless Network,"Wed, 13 Feb 2013 05:10:51 -0800",-0800,Commotion-discuss.NeoPhyte_Rep at OrdinaryAmerican.net,"On Tue, Feb 12, 2013 at 8:12 PM, Ben West - ben at gowasabi.net  wrote:
> The suggestion to use a prime number for the beacon interval to avoid
> clients from becoming synchronized is pretty clever.  Seems like that would
> work as desired, although I wonder if the speaker actually had a chance to
> test that.

Not only has he had the opportunity to test all the ideas presented,
they are part of the network he and his fellow volunteers will deploy
at SCaLE 11x, http://www.socallinuxexpo.org/scale11x for the third
time.

Did you notice he (sort of) offered the equipment and their expertise
to others since they only use the equipment once a year?


"
20,Commotion-discuss, Looking for blog editors,"Tue, 26 Feb 2013 09:58:29 -0500",-0500,Dan Staples,"The Commotion blog <https://commotionwireless.net/blog> is a place for
developers, tinkerers, and users of Commotion to talk about what they're
working on and what's interesting to them in the world of mesh
networking. We are currently looking for volunteers to help us edit the
Commotion blog. This would include reviewing and editing content to be
published. If you would be able to help out with this, please let us know!

thanks,
Dan

-- 
Dan Staples

Open Technology Institute
https://commotionwireless.net

"
21,Commotion-discuss, Warning Label Development,"Tue, 26 Feb 2013 10:36:45 -0500",-0500,Dan Staples,"We just posted two blog posts on the Commotion website about the process of developing warning labels for Commotion, written by Seamus Tuohy. You can see the warning label on the Commotion Download page.

https://commotionwireless.net/blog/warning-label-development-part-1
https://commotionwireless.net/blog/warning-label-development-part-2

-- 
Dan Staples

Open Technology Institute
https://commotionwireless.net

"
22,Commotion-discuss, Some pre-experimentation mesh hardware inquiries,"Wed, 27 Feb 2013 12:31:54 +0100",+0100,Mikael Nordfeldth,"Hello,
I'm involved in Ume? Hackerspace, northern Sweden, and we're thinking 
(like so many others) that a wireless mesh network would be great to 
have in our neighbourhood. I've been looking at both Commotion and the 
Byzantium project (http://project-byzantium.org/) for inspiration, 
technology and software.

 From what I can tell Commotion currently has OpenWRT builds for some of 
the Ubiquiti hardware and from what I can tell from documentation this 
is a working solution albeit somewhat hacky and developer-oriented. I 
have a little bit of personal budget to kickstart this project and buy 
hardware to experiment with. My first test scenario is to at least have 
three APs/laptops working in a mesh to connect an apartment a couple of 
blocks away from the source internet connection.

Any experience-based suggestions on which hardware is best suited, 
general tips for putting up a network like this etc. for someone who's 
only used two OpenWRT boxes to ""bridge"" before?

And a bonus inquiry: are there any efforts (or ideas on how much effort 
it would mean) to put Commotion firmware onto common units like the 
Linksys WRT54GL and such?

-- 
Mikael Nordfeldth
http://blog.mmn-o.se/
Xmpp/mail: mmn at hethane.se
"
23,Commotion-discuss, Some pre-experimentation mesh hardware,"Wed, 27 Feb 2013 06:59:21 -0500",-0500,Andrew Reynolds,"Hello!

We tend to focus on Ubiquiti routers for convenience. We have a lot of
them for our own networks because they're reliable and hard to brick.
Commotion should theoretically run on any OpenWRT-compatible hardware
(http://wiki.openwrt.org/toh/start). The biggest problem we've run into
is that some of the smaller routers don't have enough storage for all
the Commotion packages. I believe there's a minimal Commotion
configuration somewhere in the developer archives. I will see if I can
find it.

The setup you describe sounds pretty straightforward. The routers should
just mesh, and there are a couple of ways to add a laptop/fileserver.
You could run the x86 live image, which will turn the laptop into a very
powerful openwrt node, or you could connect the laptop and router via
ethernet cable. Depending on your OS, this might be a good opportunity
to test the new Linux or OS X clients. They're still very rough, but
they might fit in a test network.

We are in the process of packaging and testing a new Commotion release,
which will add a lot of user interface improvements, as well as some
security features.

Finally, you can find all of our source code, including packages that
haven't been added to the official release, on our github account
(https://github.com/opentechinstitute).

Keep us posted on your progress.

-andrew


On 02/27/2013 06:31 AM, Mikael Nordfeldth wrote:
> Hello,
> I'm involved in Ume? Hackerspace, northern Sweden, and we're thinking
> (like so many others) that a wireless mesh network would be great to
> have in our neighbourhood. I've been looking at both Commotion and the
> Byzantium project (http://project-byzantium.org/) for inspiration,
> technology and software.
> 
> From what I can tell Commotion currently has OpenWRT builds for some of
> the Ubiquiti hardware and from what I can tell from documentation this
> is a working solution albeit somewhat hacky and developer-oriented. I
> have a little bit of personal budget to kickstart this project and buy
> hardware to experiment with. My first test scenario is to at least have
> three APs/laptops working in a mesh to connect an apartment a couple of
> blocks away from the source internet connection.
> 
> Any experience-based suggestions on which hardware is best suited,
> general tips for putting up a network like this etc. for someone who's
> only used two OpenWRT boxes to ""bridge"" before?
> 
> And a bonus inquiry: are there any efforts (or ideas on how much effort
> it would mean) to put Commotion firmware onto common units like the
> Linksys WRT54GL and such?
> 


"
24,Commotion-discuss, Some pre-experimentation mesh hardware,"Wed, 27 Feb 2013 15:36:43 +0100",+0100,Christian Huldt,"Is it possible to configure olsrd on openwrt on something cheap like
TP-Link TL-MR3020 to join a commotion mesh?

Andrew Reynolds skrev 2013-02-27 12:59:
> Hello!
> 
> We tend to focus on Ubiquiti routers for convenience. We have a lot of
> them for our own networks because they're reliable and hard to brick.
> Commotion should theoretically run on any OpenWRT-compatible hardware
> (http://wiki.openwrt.org/toh/start). The biggest problem we've run into
> is that some of the smaller routers don't have enough storage for all
> the Commotion packages. I believe there's a minimal Commotion
> configuration somewhere in the developer archives. I will see if I can
> find it.
> 
> The setup you describe sounds pretty straightforward. The routers should
> just mesh, and there are a couple of ways to add a laptop/fileserver.
> You could run the x86 live image, which will turn the laptop into a very
> powerful openwrt node, or you could connect the laptop and router via
> ethernet cable. Depending on your OS, this might be a good opportunity
> to test the new Linux or OS X clients. They're still very rough, but
> they might fit in a test network.
> 
> We are in the process of packaging and testing a new Commotion release,
> which will add a lot of user interface improvements, as well as some
> security features.
> 
> Finally, you can find all of our source code, including packages that
> haven't been added to the official release, on our github account
> (https://github.com/opentechinstitute).
> 
> Keep us posted on your progress.
> 
> -andrew
> 
> 
> On 02/27/2013 06:31 AM, Mikael Nordfeldth wrote:
"
25,Commotion-discuss, Some pre-experimentation mesh hardware,"Wed, 27 Feb 2013 09:47:04 -0500",-0500,Andrew Reynolds,"That one might be close. It looks like it's supported by OpenWRT under
the ar71xx target we've had good luck with. The limiting factor will be
onboard storage. The Commotion PR3 release is 4.1 MB, and it looks like
the TL-MR3020 only has 4 available.

-andrew

On 02/27/2013 09:36 AM, Christian Huldt wrote:
> Is it possible to configure olsrd on openwrt on something cheap like
> TP-Link TL-MR3020 to join a commotion mesh?
> 
> Andrew Reynolds skrev 2013-02-27 12:59:
"
26,Commotion-discuss, Some pre-experimentation mesh hardware,"Wed, 27 Feb 2013 10:40:01 -0600",-0600,Chris Ritzo,"This post in the commotion-dev archives has info about minimal images that
Ben West compiled. This might be useful for the TP Link routers or others
with lower system resources.

https://lists.chambana.net/pipermail/commotion-dev/2013-January/001001.html


On Wed, Feb 27, 2013 at 8:47 AM, Andrew Reynolds <
andrew at opentechinstitute.org> wrote:

> That one might be close. It looks like it's supported by OpenWRT under
> the ar71xx target we've had good luck with. The limiting factor will be
> onboard storage. The Commotion PR3 release is 4.1 MB, and it looks like
> the TL-MR3020 only has 4 available.
>
> -andrew
>
> On 02/27/2013 09:36 AM, Christian Huldt wrote:
> > Is it possible to configure olsrd on openwrt on something cheap like
> > TP-Link TL-MR3020 to join a commotion mesh?
> >
> > Andrew Reynolds skrev 2013-02-27 12:59:
> "
27,Commotion-discuss, Some pre-experimentation mesh hardware,"Wed, 27 Feb 2013 11:44:20 -0600",-0600,Ben West,"I don't have any current versions of the 'minimal' ath5k-based Commotion
images, besides those listed below:

http://info.gowasabi.net/commotion-openwrt/openwrt/bin/atheros-ar2315-minimal/
Circa OpenWRT r31693, from Summer last year

http://info.gowasabi.net/commotion-openwrt-new/openwrt/bin/atheros-ar2315-minimal/
Like above, but with a newer kernel and compat-wireless library backported

All of these imageshould have the root pwd pre-set to r0ot56c0MM0t10N .

The only image I tested successfully were the older of the two version
listed above, on a FONera 2100.  Still, I have posted the config file I
used to build both versions, so that you can try building your own.

http://info.gowasabi.net/commotion-openwrt/openwrt/atheros-ar2315.minimal.config
http://info.gowasabi.net/commotion-openwrt-new/openwrt/atheros-ar2315.minimal.config

Please note the ath5k (aka atheros) images will not run on a WRT54G
(brcm47xx-based) or on the TP-Link (ath9k-based).

It should be straightforward (although tedious) to prune down the current
package set for DR1 Commotion to get a ~4MB sized image in squashfs.
Although, you would likely have to axe potentially useful features, e.g.
IPV6 support or Luci web UI.

Also, do be mindful of the RAM limitation for older devices like a WRT54G,
which has only 16MB of memory.  The recent incorporation of the zram
package into OpenWRT trunk may allow operation on such RAM-bound devices,
but to date I have *not* been able to run the v3.x kernel reliably on these
units.  And the OpenWRT dev team also doesn't expect it to, unfortunately.

On Wed, Feb 27, 2013 at 10:40 AM, Chris Ritzo <chris.ritzo at gmail.com> wrote:

> This post in the commotion-dev archives has info about minimal images that
> Ben West compiled. This might be useful for the TP Link routers or others
> with lower system resources.
>
> https://lists.chambana.net/pipermail/commotion-dev/2013-January/001001.html
>
"
28,Commotion-discuss, Some pre-experimentation mesh hardware,"Wed, 27 Feb 2013 13:04:08 -0500",-0500,Josh King,"Yes, and even the Fonera 2100 still has 8MB of flash. The image would 
actually have to pruned down to something significantly less than 4MB 
in order to accomodate the JFFS2 partition in additon to the squashfs 
one. So we're actually looking at something closer to 2-3MB. We'll see 
how small we can get it, and having so much more of it as C binaries 
should hopefully make it more compact, but my feeling is that it will 
probably turn out that 4MB of flash is just too small to be able to 
support. Anyway, we'll see how it turns out once we have AA-based 
testing images.

On Wed 27 Feb 2013 12:44:20 PM EST, Ben West wrote:
> I don't have any current versions of the 'minimal' ath5k-based Commotion
> images, besides those listed below:
>
> http://info.gowasabi.net/commotion-openwrt/openwrt/bin/atheros-ar2315-minimal/
> Circa OpenWRT r31693, from Summer last year
>
> http://info.gowasabi.net/commotion-openwrt-new/openwrt/bin/atheros-ar2315-minimal/
> Like above, but with a newer kernel and compat-wireless library backported
>
> All of these imageshould have the root pwd pre-set to r0ot56c0MM0t10N .
>
> The only image I tested successfully were the older of the two version
> listed above, on a FONera 2100.  Still, I have posted the config file I
> used to build both versions, so that you can try building your own.
>
> http://info.gowasabi.net/commotion-openwrt/openwrt/atheros-ar2315.minimal.config
> http://info.gowasabi.net/commotion-openwrt-new/openwrt/atheros-ar2315.minimal.config
>
> Please note the ath5k (aka atheros) images will not run on a WRT54G
> (brcm47xx-based) or on the TP-Link (ath9k-based).
>
> It should be straightforward (although tedious) to prune down the current
> package set for DR1 Commotion to get a ~4MB sized image in squashfs.
> Although, you would likely have to axe potentially useful features, e.g.
> IPV6 support or Luci web UI.
>
> Also, do be mindful of the RAM limitation for older devices like a WRT54G,
> which has only 16MB of memory.  The recent incorporation of the zram
> package into OpenWRT trunk may allow operation on such RAM-bound devices,
> but to date I have *not* been able to run the v3.x kernel reliably on these
> units.  And the OpenWRT dev team also doesn't expect it to, unfortunately.
>
> On Wed, Feb 27, 2013 at 10:40 AM, Chris Ritzo <chris.ritzo at gmail.com> wrote:
>
"
